power_id,bts_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
POWER_0144,738,16.413750270344984,107.755415515645,2500.0,8281.568359375,4560.1806640625,1892680.6258307556,1.1305541601575555
POWER_0129,976,16.430416937242374,107.68916551672434,2500.0,16064.236328125,8757.5,202488.94008203468,0.5601768629010645
POWER_0137,5616,16.486250270054985,107.609582182895,1000.0,13146.095703125,3037.71533203125,259048.41094157108,0.819706388642278
POWER_0049,3742,16.49791693667498,107.559582183095,1000.0,6678.0234375,6678.0234375,198724.5751578678,0.3120452878934464
POWER_0069,4358,16.490000270047375,107.63708218271567,1000.0,6332.2041015625,59.99462127685547,1812309.0949760745,0.4822155821380746
POWER_0079,5869,16.41458360367498,107.598748849605,2500.0,15787.3994140625,3633.15966796875,1703570.8539260188,0.1674292360956545
POWER_0124,2760,16.35625027057498,107.896248848415,2500.0,10894.611328125,4501.326171875,323972.744179259,1.2334342019196398
POWER_0027,3933,16.369583603854984,107.741248849035,2500.0,12865.7900390625,12865.7900390625,150742.57249389312,0.2957003146789831
POWER_0141,6355,16.51958360325499,107.567082183065,2500.0,23678.728515625,23678.728515625,199329.33370047633,0.3075451954484399
POWER_0102,6471,16.498750270004987,107.52874884988502,2500.0,22931.8203125,7649.01416015625,199540.0841317004,0.545958733117855
POWER_0094,6466,16.426250270294982,107.753748848985,2500.0,8632.9091796875,5003.62548828125,107761.33867188072,0.1222414158042856
POWER_0016,2041,16.521250271025387,107.59541551645437,2500.0,22373.619140625,22373.619140625,284971.8246594445,0.9152772429206684
POWER_0085,3560,16.421666936987315,107.69708218247408,2500.0,17813.72265625,11750.5771484375,174720.41732365065,0.5122048976617979
POWER_0008,2470,16.39875027040498,107.673748849305,2500.0,25301.7421875,6114.275390625,1699908.5594742103,0.1473115545445605
POWER_0128,2599,16.387083603784983,107.862915515215,2500.0,11119.3447265625,0.0,147938.85764855501,0.4466789930368834
POWER_0119,6201,16.422083603644975,107.692082182565,2500.0,25380.357421875,11933.0869140625,99370.26949291301,0.0754313329599314
POWER_0019,3563,16.47958360341498,107.668748849325,2500.0,8627.9921875,2619.017578125,112933.02592413902,0.1697846907249792
POWER_0023,5184,16.664583602674984,107.340415517305,1000.0,2233.29833984375,2233.29833984375,1894854.1567415092,0.8549860874177384
POWER_0096,894,16.505416936644977,107.428748850285,1000.0,1251.948486328125,1251.948486328125,258919.85182530375,0.8924460090560017
POWER_0044,6455,16.418750270324978,107.578748849685,2500.0,25584.525390625,247.04017639160156,1778127.2422042862,0.8106163486441029
POWER_0135,78,16.44479193772243,107.59874884968104,1000.0,20600.609375,19991.888671875,148999.65693662112,0.3178733009787218
POWER_0046,1291,16.43569471513768,107.80263773727816,2500.0,14429.029296875,0.0,1896597.7950485921,1.2033151864607607
POWER_0142,3103,16.478750270084983,107.486248850055,2500.0,7832.0439453125,219.23910522460938,1888517.7991021024,1.0710850772347276
POWER_0145,6480,16.48791693671498,107.570415516385,1000.0,18614.337890625,18614.337890625,1784642.8425657325,0.3090570759327347
POWER_0117,243,16.465625276324985,107.54267741829489,1000.0,8202.162109375,8202.162109375,142670.01397955173,0.1477388024042843
POWER_0002,5498,16.433750270679415,107.56833218312292,2500.0,57832.359375,5848.962890625,212385.50326932388,0.7789006783624784
POWER_0050,2862,16.516250269934975,107.599582182935,2500.0,24696.56640625,24696.56640625,1749177.9387758602,0.1778016072409106
POWER_0086,5694,16.431250270274983,107.799582182135,2500.0,15546.91015625,0.0,1914048.5188381139,1.2988149748762714
POWER_0060,2532,16.360833603897156,107.8937488483489,2500.0,12164.6865234375,4464.2880859375,160416.62594806257,0.5497562094241194
POWER_0001,5330,16.529583603214984,107.438748850245,1000.0,3853.44775390625,3853.44775390625,1900215.6873162896,1.1949677054334935
POWER_0066,6358,16.65041693606498,107.478748850085,1000.0,1828.575927734375,1828.575927734375,1777036.2202810603,0.5554381358154621
POWER_0110,6342,16.36458360387498,107.716248849135,2500.0,16745.33203125,14525.9814453125,195997.25910731143,0.506217984339482
POWER_0088,708,16.321250270714984,107.787915515515,2500.0,11759.3125,1777.2679443359375,1919798.0346736873,1.0330697558985698
POWER_0076,6462,16.496250270014986,107.487082183385,1000.0,3684.467529296875,0.0,286885.78214784083,1.0573972660378237
POWER_0091,2553,16.472083603444982,107.577915516355,1000.0,33078.328125,33078.328125,1689106.8410032997,0.0426743964648533
POWER_0138,6351,16.567083603064983,107.508748849965,2500.0,22430.37890625,9174.693359375,177307.71254525756,0.5087391295641627
POWER_0059,4866,16.52375026990498,107.493748850025,2500.0,22157.19140625,1922.328369140625,287602.07791231247,1.0566954976235448
POWER_0120,5956,16.272916937574983,107.985415514725,1000.0,3103.85888671875,395.50262451171875,2017263.3497110887,1.8967509276786652
POWER_0013,583,16.38583360379744,107.48458218332968,2500.0,2139.228759765625,832.8909301757812,1791717.3592442593,0.5798511724476292
POWER_0038,2111,16.562083603084982,107.481248850075,1000.0,1762.733642578125,185.18310546875,101193.31751973976,0.0994310465184488
POWER_0089,5448,16.422083603644985,107.467082183465,2500.0,864.991943359375,40.266456604003906,1772715.5879864302,0.5865570466579457
POWER_0024,6161,16.540416936504993,107.67958218261502,2500.0,11167.759765625,4571.376953125,295100.42612195405,0.9689934925763836
POWER_0093,1878,16.36308360422936,107.73591551605156,2500.0,16551.390625,16545.0703125,1796678.451142524,0.5369716704560715
POWER_0143,6458,16.41958360365499,107.565415516405,2500.0,16849.359375,517.5042114257812,212252.17738058264,0.7777992905859205
