site_id,latitude,longitude,pop,priority_category,priority_weight
I_00129,16.471438120378163,107.61439910629339,52661.2581018341,residential,7.2
I_00130,16.448899867430747,107.65516236362883,1192.6730280907323,normal,1.0
I_00131,16.33982324342523,107.53899486103414,50.282344764705456,normal,1.0
I_00132,16.334645728644933,107.73383867834333,11.107576883331713,residential,3.7
I_00133,16.50817926635079,107.5798205772766,2064.7570361013645,residential,2.2
I_00134,16.312170917696697,107.74429476805784,110.29736118150075,residential,3.7
I_00135,16.52416018915796,107.6983610446949,40219.61775862621,normal,1.0
I_00136,16.290204153276402,108.04796291043063,60.018715682332136,normal,1.0
I_00137,16.60713372566724,107.37073739506016,296.4083272032429,residential,3.7
I_00138,16.37684072801825,107.8583603610696,3407.8880143856795,normal,1.0
I_00139,16.309973352144603,107.99986792331515,2592.1337065579496,residential,2.2
I_00140,16.41675912163476,107.5016679832754,103.46827718931829,normal,1.0
I_00141,16.22979956612727,108.081400517428,5974.966249752733,hospitals,6.0
I_00142,16.383174860846456,107.05275544300315,1246.3868161872692,residential,2.2
I_00143,16.534334096479096,107.3084286323105,22.88289734737801,residential,2.2
I_00144,16.422309913104268,107.82577168872933,1728.5512710088606,normal,1.0
I_00145,16.24365979102083,107.24802208031228,8931.391285104191,residential,2.2
I_00146,16.417258445604585,107.50065699510012,92.27072912307669,normal,1.0
I_00147,16.301212822319357,107.96235411971054,95.29190707794311,residential,2.2
I_00148,16.450930112458835,107.54637077580584,21982.341160156677,residential,3.7
I_00149,16.557395379531638,107.31950351199247,427.80681879210977,residential,2.2
I_00150,16.21934096810032,107.71993637763991,14.838369324903113,normal,1.0
I_00151,16.38098594960256,107.05280677887427,1296.252724764269,residential,2.2
I_00152,16.308329562367778,107.38769004690053,380.02093751641553,residential,2.2
I_00153,16.314874384137713,107.7057579388155,11.919412026759426,normal,1.0
I_00154,16.312552231954054,107.08871432198889,15.884694266649204,residential,2.2
I_00155,16.311090880852895,107.74514277976992,174.50321938661077,residential,3.7
