bts_id,power_id,distance_km,total_time_hr,travel_cost_vnd,total_cost_vnd,total_travel_cost_vnd,note
BTS_00894,POWER_0122,27.325553339441125,0.575602109112575,105939.87912244584,194102.87912244583,105939.87912244584,
BTS_00976,POWER_0097,44.493476406338814,0.9343628848415336,168567.66491210758,1848567.6649121076,168567.66491210758,
BTS_01033,POWER_0004,25.9330584658336,0.5420763122586616,94806.5343967217,1774806.5343967217,94806.5343967217,
BTS_01039,POWER_0143,51.63713618830127,1.129160420299904,256871.65331230464,345034.65331230464,256871.65331230464,
BTS_01096,POWER_0113,39.24914501937992,0.8229415160833473,146934.31765189517,235097.31765189517,146934.31765189517,
BTS_01119,POWER_0048,40.831585815201,0.8406467480513854,131697.02749482315,219860.02749482315,131697.02749482315,
BTS_01127,POWER_0138,41.9277111466434,0.9045268773778954,191729.69389871508,279892.6938987151,191729.69389871508,
BTS_01241,POWER_0005,25.426927765695684,0.5913714134640246,174837.49692047664,263000.49692047667,174837.49692047664,
BTS_01256,POWER_0008,19.731349606071632,0.4165262588186373,77718.84359096468,1757718.8435909646,77718.84359096468,
BTS_01282,POWER_0069,26.251398258832506,0.5626195654390477,114964.1789503996,1794964.1789503996,114964.1789503996,
BTS_01291,POWER_0128,12.676651974583711,0.2573844052235199,35957.75318052488,124120.75318052489,35957.75318052488,
BTS_01392,POWER_0039,51.008177638538825,1.062056544532518,180783.98634993256,1860783.9863499326,180783.98634993256,
BTS_01404,POWER_0111,15.536846610128704,0.3525193033367665,94754.74845803648,182917.74845803648,94754.74845803648,
BTS_01542,POWER_0054,8.277560542461206,0.2079202462504971,77981.92393664709,1757981.9239366471,77981.92393664709,
BTS_01550,POWER_0019,48.95924060198441,1.0333686797090504,192631.7138228202,280794.7138228202,192631.7138228202,
BTS_01617,POWER_0087,27.16797777597209,0.5796914138867001,115460.51390898164,1795460.5139089816,115460.51390898164,
BTS_01633,POWER_0091,52.73687955250115,1.1098527464576535,203051.15337315653,1883051.1533731564,203051.15337315653,
BTS_01668,POWER_0093,8.184033692088109,0.1740837085307039,34040.582517739815,1714040.5825177399,34040.582517739815,
BTS_01746,POWER_0016,29.32274419208241,0.647244595433259,154124.50380830493,242287.50380830493,154124.50380830493,
BTS_01795,POWER_0007,19.03451886389277,0.392690511059809,62494.281254745605,1742494.2812547456,62494.281254745605,
BTS_01990,POWER_0116,68.31801465009325,1.366360293001865,165401.50915285732,253564.50915285732,165401.50915285732,"fallback_no_path: No path between (107.83051, 16.288345) and (107.205891, 16.412083)."
BTS_02005,POWER_0127,32.97024431873258,0.7217065849262683,165023.0020716428,253186.0020716428,165023.0020716428,
BTS_02013,POWER_0021,40.03830369994655,0.8369141214381456,146368.88085051547,1826368.8808505156,146368.88085051547,
BTS_02041,POWER_0110,8.105380132083091,0.2086032522459543,83208.39201547492,171371.3920154749,83208.39201547492,
BTS_02053,POWER_0057,25.03075210958632,0.5240301851337161,92622.00321843878,1772622.0032184387,92622.00321843878,
BTS_02096,POWER_0031,30.37929542095511,0.6170841197173527,86539.09366299023,174702.09366299023,86539.09366299023,
BTS_02100,POWER_0020,41.17736463648389,0.8235472927296777,99692.5670146452,1779692.5670146453,99692.5670146452,"fallback_no_path: No path between (107.231027, 16.272654) and (107.571941, 16.446035)."
BTS_02115,POWER_0134,47.64053089305225,0.952810617861045,115340.2326884423,203503.23268844228,115340.2326884423,"fallback_no_path: No path between (107.507786, 16.574283) and (107.203925, 16.256125)."
BTS_02285,POWER_0059,20.02830761243689,0.420264378759388,75427.77556177997,163590.77556177997,75427.77556177997,
BTS_02375,POWER_0144,71.66012700632413,1.5405400464631855,320281.68676874967,2000281.6867687497,320281.68676874967,
BTS_02470,POWER_0112,25.20246545899021,0.5244522480200711,88918.40905156889,177081.4090515689,88918.40905156889,
BTS_02532,POWER_0147,42.63105624437082,0.8767610996206162,136224.50512589703,224387.50512589703,136224.50512589703,
BTS_02539,POWER_0050,26.02008418571532,0.5844034850389458,150521.26369972574,1830521.2636997257,150521.26369972574,
BTS_02544,POWER_0080,6.314036586276681,0.144612870141968,40356.61821872357,1720356.6182187237,40356.61821872357,
BTS_02553,POWER_0002,37.081201701430096,0.7840793088687263,147834.99137868462,235997.99137868462,147834.99137868462,
BTS_02599,POWER_0114,22.10513977569137,0.4466789930368834,59775.85764855501,147938.85764855501,59775.85764855501,
BTS_02616,POWER_0071,19.204900535960284,0.4100167283179349,81941.05808392054,1761941.0580839205,81941.05808392054,
BTS_02723,POWER_0121,49.23207238754852,1.039756603158601,194565.8307632712,282728.8307632712,194565.8307632712,
BTS_02760,POWER_0103,56.58392628254536,1.1764365572795994,198201.23495522465,1878201.2349552247,198201.23495522465,
BTS_02862,POWER_0142,41.1868442551672,0.8844755979156247,182778.37141982975,1862778.3714198298,182778.37141982975,
BTS_02878,POWER_0015,7.861787256838479,0.1694810653949414,35779.813255582594,1715779.8132555827,35779.813255582594,
BTS_02936,POWER_0026,18.971936398388976,0.3975564358219234,70708.81667031934,158871.81667031936,70708.81667031934,
BTS_02953,POWER_0042,27.757714261281343,0.5728042174008242,91339.94352830562,179502.94352830562,91339.94352830562,
BTS_03050,POWER_0061,50.02921936408812,1.0493446023008066,187805.1058417317,1867805.1058417317,187805.1058417317,
BTS_03058,POWER_0032,9.761901055308144,0.2035453748541646,34994.74684718,123157.74684718001,34994.74684718,
BTS_03103,POWER_0129,11.299002086357628,0.2618928311098688,76467.79333859815,164630.79333859816,76467.79333859815,
BTS_03164,POWER_0029,61.647543118257126,1.2329508623651426,149251.94649683306,1829251.946496833,149251.94649683306,"fallback_no_path: No path between (107.231027, 16.272654) and (107.780024, 16.450419)."
BTS_03171,POWER_0051,28.1850439506034,0.6007093301942047,118848.15499703138,207011.15499703138,118848.15499703138,
BTS_03181,POWER_0024,65.81357719619373,1.4187422138622754,299471.269732861,387634.269732861,299471.269732861,
BTS_03353,POWER_0043,76.87785289069492,1.6766122897813662,376289.45668035134,464452.45668035134,376289.45668035134,
BTS_03430,POWER_0009,20.23073271679043,0.4243128808464587,75917.85739337275,1755917.8573933728,75917.85739337275,
BTS_03494,POWER_0067,13.469852469306549,0.2981231528617704,71895.42818755108,1751895.428187551,71895.42818755108,
BTS_03537,POWER_0090,25.755874366635886,0.5584256545433527,121582.145555521,209745.145555521,121582.145555521,
BTS_03554,POWER_0070,24.366090042460566,0.5070200273598614,85929.77512920566,174092.77512920566,85929.77512920566,
BTS_03560,POWER_0077,24.6253335575574,0.5122048976617979,86557.41732365065,174720.41732365065,86557.41732365065,
BTS_03563,POWER_0119,8.320074007273899,0.1697846907249792,24770.025924139023,112933.02592413902,24770.025924139023,
BTS_03728,POWER_0141,17.421592722836202,0.3666419543015159,67081.70313426165,155244.70313426165,67081.70313426165,
BTS_03742,POWER_0100,21.376035783363,0.4590679613493707,94894.74980744877,183057.74980744877,94894.74980744877,
BTS_03784,POWER_0082,24.919668865084617,0.525425179144437,97299.0045091864,185462.0045091864,97299.0045091864,
BTS_03809,POWER_0046,30.38814228581161,0.6675243827190692,155297.81482128325,1835297.8148212833,155297.81482128325,
BTS_03933,POWER_0105,16.59589500454607,0.3559530970680479,73048.72131569024,161211.72131569026,73048.72131569024,
BTS_03997,POWER_0146,75.79042954621619,1.6255106928489935,333515.05477905,421678.05477905,333515.05477905,
BTS_04003,POWER_0084,46.47730997473421,1.029517270920344,249238.83849374508,1929238.838493745,249238.83849374508,
BTS_04212,POWER_0018,54.27468948347896,1.1377297469863867,202836.84248360092,1882836.8424836008,202836.84248360092,
BTS_04323,POWER_0149,12.147761798449377,0.248309249771327,36732.21936979611,1716732.219369796,36732.21936979611,
BTS_04337,POWER_0140,63.06144384510858,1.3288725104954888,245180.71033726403,1925180.710337264,245180.71033726403,
BTS_04350,POWER_0012,41.74523466916416,0.8638389307714865,140636.2489255288,228799.2489255288,140636.2489255288,
BTS_04358,POWER_0101,8.85688471366891,0.206846785423545,62071.46922178648,1742071.4692217866,62071.46922178648,
BTS_04368,POWER_0133,65.50591577222443,1.3101183154444884,158593.2697643328,1838593.2697643328,158593.2697643328,"fallback_no_path: No path between (107.231027, 16.272654) and (107.832937, 16.388158)."
BTS_04427,POWER_0088,19.25773070643268,0.4101954494303162,80868.4201623215,1760868.4201623215,80868.4201623215,
BTS_04455,POWER_0044,59.53843952457901,1.1907687904915802,144145.69569108603,1824145.6956910861,144145.69569108603,"fallback_no_path: No path between (107.231027, 16.272654) and (107.734201, 16.500832)."
BTS_04485,POWER_0079,39.55379379119744,0.8209052462615868,136554.78892630106,1816554.788926301,136554.78892630106,
BTS_04494,POWER_0094,25.86318783488996,0.5382041545285503,91253.05144073488,179416.05144073488,91253.05144073488,
BTS_04518,POWER_0123,45.8232946538572,0.916465893077144,110940.60810933849,1790940.6081093384,110940.60810933849,"fallback_no_path: No path between (107.507786, 16.574283) and (107.224028, 16.266474)."
BTS_04605,POWER_0052,39.171897623542726,0.8342801707313232,164366.18921846338,252529.18921846338,164366.18921846338,
BTS_04656,POWER_0072,7.377082103895924,0.1609596143642542,36209.969650131694,124372.9696501317,36209.969650131694,
BTS_04657,POWER_0068,21.95902315323532,0.460544251344146,82379.8682724352,170542.8682724352,82379.8682724352,
BTS_04727,POWER_0037,27.73193537434916,0.574336933997633,94078.66382746224,182241.66382746224,94078.66382746224,
BTS_04802,POWER_0085,6.10453697944722,0.1220907395889444,14779.405318661691,102942.4053186617,14779.405318661691,
BTS_04837,POWER_0064,64.80811938435902,1.3974805341011065,295460.87698257936,383623.87698257936,295460.87698257936,
BTS_04848,POWER_0035,3.913790751147123,0.0782758150229424,9475.493397514085,97638.49339751409,9475.493397514085,
BTS_04884,POWER_0076,50.66506951762775,1.0700383002296272,200253.01260263807,288416.0126026381,200253.01260263807,
BTS_04889,POWER_0060,17.610462878224226,0.3701454105361131,67164.33335672638,155327.3333567264,67164.33335672638,
BTS_05096,POWER_0049,24.121939505465928,0.5071585341863014,92205.81934307177,180368.81934307178,92205.81934307177,
BTS_05114,POWER_0023,13.52076015711564,0.302955759389598,77235.10984487458,1757235.1098448746,77235.10984487458,
BTS_05184,POWER_0120,24.965619332183334,0.5568740477483863,139161.17457814395,1819161.174578144,139161.17457814395,
BTS_05197,POWER_0028,13.743945590288758,0.2843771231040258,46264.036178219045,134427.03617821904,46264.036178219045,
BTS_05252,POWER_0058,29.462094850748016,0.6111673524567552,101313.30422966926,189476.30422966927,101313.30422966926,
BTS_05268,POWER_0132,53.24959363329366,1.124527798325699,210338.0583610172,298501.0583610172,210338.0583610172,
BTS_05330,POWER_0148,56.71740919177497,1.1949677054334935,220215.68731628967,308378.68731628964,220215.68731628967,
BTS_05401,POWER_0034,9.607157259751354,0.2118472903958783,50205.716144772574,1730205.7161447725,50205.716144772574,
