site_id,latitude,longitude,pop,priority_category,priority_weight
I_00043,16.2480095312266,107.30819329521168,93.67103052139282,normal,1.0
I_00044,16.62991697278744,107.312582184083,88.35690498352051,residential_clean,2.2
I_00045,16.37275028610633,107.67441551596899,87.71555709838867,normal,1.0
I_00046,16.328750275419367,107.41263773923833,85.96534299850464,residential_clean,2.2
I_00047,16.41583361125804,107.50270718332247,68.91136169433594,normal,1.0
I_00048,16.08597250475104,107.38550810971722,68.46498155593872,residential_clean,2.2
I_00049,16.361000278045843,107.12608218482897,64.05223894119263,residential_clean,2.2
I_00050,16.089166942242837,107.34999885059997,63.91065549850464,residential_clean,2.2
I_00051,16.474444715392952,107.44222107245332,63.523178577423096,normal,1.0
I_00052,16.221354439296405,107.18781135124875,57.62113666534424,residential_clean,2.2
I_00053,16.332416937763185,108.02024884791898,52.86780595779419,industrial_clean,2.5
I_00054,16.734305825630596,107.39541551708498,48.05093002319336,residential_clean,2.2
I_00055,16.312916941848986,107.15062385139748,38.67550754547119,normal,1.0
I_00056,16.202083605933687,107.29474885082098,38.4391655921936,residential_clean,2.2
I_00057,16.317916938282067,108.02395718123748,34.95912218093872,industrial_clean,2.5
I_00058,16.32437527547242,107.69749884920998,25.090107917785645,normal,1.0
I_00059,16.46236138643491,107.43041551694498,22.028131008148193,normal,1.0
I_00060,16.47705962525676,107.6144844130323,56294.32212224796,residential_clean,7.2
I_00061,16.14164633660912,107.75771854480585,129.23074936519455,residential_clean,2.2
I_00062,16.203662818749194,107.29551628555014,23.53824982623691,residential_clean,2.2
I_00063,16.579646594375586,107.52973330519843,3948.815818220486,residential_clean,2.2
I_00064,16.379480753429075,107.1040194793776,215.91409632283498,residential_clean,2.2
I_00065,16.329566720500313,107.4111138632407,58.77418834538582,residential_clean,2.2
I_00066,16.302286769852806,107.38764356428626,505.0842500690786,residential_clean,2.2
I_00067,16.58908751848762,107.58411323679948,858.2094467486403,normal,1.0
I_00068,16.53531028192838,107.42167763476,29157.822206075296,residential_clean,3.7
I_00069,16.73370557178049,107.39636295690603,31.646499563118883,residential_clean,2.2
I_00070,16.35140614505703,107.66666173358587,173.77019602243777,normal,1.0
I_00071,16.322329540122222,107.73358203088077,380.28055313900626,residential_clean,3.7
I_00072,16.333239482675292,108.01902800426902,41.60837198603063,industrial_clean,2.5
I_00073,16.325641501967617,107.73478119846735,235.9882119553614,residential_clean,3.7
I_00074,16.329488741999363,107.41280910751952,56.143578774116264,residential_clean,2.2
I_00075,16.37822970581465,107.10434946540873,191.6988248380352,residential_clean,2.2
I_00076,16.353505791558362,107.53296183629611,913.2754872693389,normal,1.0
I_00077,16.374652297456894,107.05228240348104,1278.8197424397172,residential_clean,2.2
I_00078,16.47765110646902,107.55503651674712,9608.637787169537,residential_clean,8.7
I_00079,16.259619570047832,107.8885162265387,1482.230538271194,schools_clean,3.0
I_00080,16.10828146399479,107.39600136643396,321.5438649149402,residential_clean,2.2
I_00081,16.32135503563652,107.73468720571886,211.82958989074356,residential_clean,3.7
I_00082,16.24720805979362,107.23981668264362,4033.178105605522,residential_clean,2.2
I_00083,16.446218400041438,107.64904541078934,300.51841370563886,normal,1.0
I_00084,16.41619524728309,107.50206206356788,72.80285721073075,normal,1.0
I_00085,16.269350041545216,107.77985786346723,254.3524755645225,normal,1.0
I_00086,16.664625366961566,107.38560414386907,10972.96612070771,residential_clean,2.2
I_00087,16.47690927801073,107.55546733207564,14415.704141055521,residential_clean,8.7
I_00088,16.142538544839326,107.75775675519269,157.66929585683425,residential_clean,2.2
I_00089,16.16415394807501,107.70397810468852,3175.022558831258,residential_clean,5.2
I_00090,16.32974596036981,107.1706890511539,2580.8154987740836,residential_clean,2.2
I_00091,16.284957968288722,107.22014715077128,1950.932591351126,residential_clean,2.2
I_00092,16.299273146530094,107.3326173812626,369.5149568619945,residential_clean,2.2
I_00093,16.446755466755754,107.64892440269895,387.04291062080466,normal,1.0
I_00094,16.247612341673754,107.24068522712112,2863.357725413558,residential_clean,2.2
I_00095,16.305857355461843,108.03324856186165,121.56175724430989,industrial_clean,2.5
I_00096,16.357216948719344,107.76428349257773,133.1303599664884,normal,1.0
I_00097,16.659697358323978,107.45920045404631,445.5951818843211,residential_clean,4.2
I_00098,16.35069689999397,107.44611368538767,254.07002537166525,normal,1.0
I_00099,16.41489055444957,107.50411114206115,81.52691297087708,normal,1.0
I_00100,16.587798222233246,107.58348900245711,728.1978416731431,normal,1.0
I_00101,16.41593595894059,107.50227457404193,62.130994608129306,normal,1.0
I_00102,16.175420723877487,107.31174647652792,205.83855111588494,residential_clean,2.2
I_00103,16.47128459455253,107.70862679011644,2493.6814933602027,normal,1.0
I_00104,16.087115327565552,107.3862600427499,50.840898973426164,residential_clean,2.2
I_00105,16.35120602382591,107.66619347112028,252.79539978426277,normal,1.0
I_00106,16.32851810190202,107.93605041500147,767.8930462849042,normal,1.0
I_00107,16.356404989312562,107.83337571498224,70.33792239304154,normal,1.0
I_00108,16.361099929410933,107.12557870917486,64.47105200637071,residential_clean,2.2
I_00109,16.474453859738695,107.44185553315648,46.74654609141215,normal,1.0
I_00110,16.32768797170564,107.41311133166896,87.21722558705646,residential_clean,2.2
I_00111,16.352628399885223,107.6646485180245,176.1680050691167,normal,1.0
I_00112,16.57944421921728,107.52993641348941,6422.36914073254,residential_clean,2.2
