site_id,i_ref,latitude,longitude,pop,priority_category,priority_weight,slope,dist_to_road_m,in_water
J_00387,I_00729,16.47307281591218,107.57043592111393,102888.64086294174,command_centers_clean,12.7,0.0,5.982229303211217,False
J_00388,I_00729,16.47305126225561,107.57045256355704,102888.64086294174,command_centers_clean,12.7,0.0,2.8689591685075246,False
J_00389,I_00729,16.473092100413684,107.57042103077491,102888.64086294174,command_centers_clean,12.7,0.0,6.889862905012657,False
J_00390,I_00729,16.473064628771272,107.57044224273416,102888.64086294174,command_centers_clean,12.7,0.0,4.799655846329289,False
J_00391,I_00729,16.47304322132319,107.57045877228316,102888.64086294174,command_centers_clean,12.7,0.0,1.7075046013798516,False
J_00392,I_00729,16.473059496270682,107.57044620574382,102888.64086294174,command_centers_clean,12.7,0.0,4.058303178403437,False
J_00393,I_00702,16.468561245959023,107.56824940583857,101064.52232456207,command_centers_clean,12.7,0.0,12.61447324575678,False
J_00394,I_00729,16.482667815935084,107.58316915500485,97480.53048229218,command_centers_clean,12.7,0.0,1.9324762379238352,False
J_00395,I_00729,16.48291473254703,107.58292290622192,96146.33697986603,command_centers_clean,12.7,0.0,4.338728932526195,False
J_00396,I_00729,16.48291552665707,107.58292403306909,95942.64278125763,command_centers_clean,12.7,0.0,4.494401411004404,False
J_00397,I_00759,16.483026179347057,107.5893068596131,95296.3706703186,command_centers_clean,12.7,0.0,16.816685605855437,False
J_00398,I_00759,16.483040163135527,107.58931224811438,95155.56987380981,command_centers_clean,12.7,0.0,18.547346447597526,False
J_00399,I_00759,16.483067050429007,107.58932260884256,95155.56987380981,command_centers_clean,12.7,0.0,18.885217543594347,False
J_00400,I_00759,16.483075411496653,107.58932583068996,95155.56987380981,command_centers_clean,12.7,0.0,18.944615765208006,False
J_00401,I_00759,16.48311925040468,107.58934272354352,95069.35433578491,command_centers_clean,12.7,0.0,20.142776479391166,False
J_00402,I_00759,16.483109635107724,107.58933901839154,95069.35433578491,command_centers_clean,12.7,0.0,19.75902507058789,False
J_00403,I_00759,16.483179737615274,107.58936603164842,94781.99897384644,command_centers_clean,12.7,0.0,14.153725923444771,False
J_00404,I_00759,16.483176562434583,107.58936480812605,94781.99897384644,command_centers_clean,12.7,0.0,14.546692751871609,False
J_00405,I_00759,16.48315163206754,107.58935520147287,94781.99897384644,command_centers_clean,12.7,0.0,17.6321255230535,False
J_00406,I_00759,16.483192302640653,107.58937087344856,94698.67628097534,command_centers_clean,12.7,0.0,12.598652731782057,False
J_00407,I_00729,16.479247513592497,107.57305379450516,93858.26092386246,command_centers_clean,12.7,0.0,10.114777206937754,False
J_00408,I_01027,16.45359074944837,107.59541230734669,92420.50852203369,command_centers_clean,12.7,0.0,1.237337855544752,False
J_00409,I_00729,16.47653048419419,107.57057723848624,92288.93785190582,command_centers_clean,12.7,0.0,11.538123813311817,False
