bts_id,power_id,total_time_hr,operating_cost_vnd_24h,travel_cost_vnd,total_cost_vnd
BTS_03310,POWER_0141,1.2510348958036863,88163.0,216196.5007746943,304359.50077469426
BTS_00449,POWER_0096,0.319287827638508,88163.0,43451.32536760237,131614.32536760237
BTS_03494,POWER_0127,0.1540420920613686,88163.0,57902.12544307848,146065.1254430785
BTS_00240,POWER_0050,0.1954416799487625,1680000.0,32344.65281564855,1712344.6528156486
BTS_03215,POWER_0064,0.1378385631286519,88163.0,16685.72079978418,104848.72079978418
BTS_02712,POWER_0144,0.0963478187193575,1680000.0,11663.157002869591,1691663.1570028695
BTS_06452,POWER_0125,1.3614415753219091,1680000.0,164806.08543370484,1844806.0854337048
BTS_04802,POWER_0024,0.1220907395889444,88163.0,14779.405318661691,102942.4053186617
BTS_00245,POWER_0057,0.0945926075509206,1680000.0,16491.901606933057,1696491.901606933
BTS_03531,POWER_0116,0.6299292088883537,88163.0,107978.21509916412,196141.2150991641
BTS_02159,POWER_0042,0.1959889343976678,88163.0,41163.2665395113,129326.2665395113
BTS_02467,POWER_0031,0.6382528126845539,88163.0,101815.84914219473,189978.84914219473
BTS_02283,POWER_0112,0.5068824502232794,88163.0,121919.370146051,210082.370146051
BTS_04131,POWER_0069,0.4815367259634005,1680000.0,145372.19695236313,1825372.196952363
BTS_06473,POWER_0122,0.6304107790839061,88163.0,105499.65406504073,193662.65406504073
BTS_01216,POWER_0109,0.6738128529000005,1680000.0,111501.34545018172,1791501.3454501817
BTS_04252,POWER_0030,0.2269175739222788,88163.0,52901.0537660468,141064.0537660468
BTS_02390,POWER_0059,0.9642880808044476,88163.0,206367.82364429865,294530.82364429865
BTS_05852,POWER_0079,0.4356196752187734,1680000.0,102415.064876912,1782415.064876912
BTS_06399,POWER_0053,1.3123859646241811,1680000.0,238882.0200714399,1918882.02007144
BTS_06381,POWER_0071,0.1940903278247742,1680000.0,59777.166604766506,1739777.1666047666
BTS_00738,POWER_0106,1.1305541601575555,1680000.0,212680.6258307556,1892680.6258307556
BTS_00976,POWER_0076,0.5324372367794682,88163.0,89006.59521684231,177169.5952168423
BTS_04651,POWER_0055,0.3983802725744,88163.0,85380.89596562067,173543.89596562067
BTS_05143,POWER_0005,0.8497177335448441,88163.0,210031.06233276197,298194.06233276194
BTS_05616,POWER_0034,0.1052155650311861,1680000.0,35454.67327001053,1715454.6732700106
BTS_03742,POWER_0104,0.2755343930530877,1680000.0,79637.80126643705,1759637.801266437
BTS_00367,POWER_0010,0.8903184795032504,1680000.0,189799.9395128486,1869799.9395128486
BTS_06378,POWER_0052,0.550039098408979,88163.0,147563.86138012464,235726.86138012464
BTS_03484,POWER_0145,0.3020610144756706,1680000.0,81330.25764077417,1761330.2576407741
BTS_04083,POWER_0070,0.4826977197434806,88163.0,82985.49578617013,171148.49578617013
BTS_04723,POWER_0110,0.7696185394776295,88163.0,172942.0334475663,261105.0334475663
BTS_04853,POWER_0131,0.1251758038962981,88163.0,25451.076271641472,113614.07627164148
BTS_02470,POWER_0119,0.1473115545445605,88163.0,19908.55947421023,108071.55947421023
BTS_05202,POWER_0097,0.5931991808742964,1680000.0,116637.72026911772,1796637.7202691177
BTS_06377,POWER_0107,0.2074726993950589,88163.0,49618.0394219528,137781.0394219528
BTS_02937,POWER_0080,0.4435196731842748,1680000.0,85996.67772563537,1765996.6777256355
BTS_05090,POWER_0063,0.4620114157289114,88163.0,95251.06270602476,183414.06270602476
BTS_06201,POWER_0047,0.5129070196238701,88163.0,86642.41103484888,174805.4110348489
BTS_04629,POWER_0018,0.3872761447701102,1680000.0,93457.75406097922,1773457.7540609792
BTS_05136,POWER_0126,1.195674172031581,88163.0,221487.1597495821,309650.15974958206
BTS_03563,POWER_0105,0.7035301722067342,88163.0,125829.91962584226,213992.91962584225
BTS_00018,POWER_0124,0.3297326049349217,88163.0,92767.37704881714,180930.37704881714
BTS_06433,POWER_0090,0.576534631242697,88163.0,129457.12887373976,217620.12887373974
BTS_02429,POWER_0013,1.4472619189851634,1680000.0,253757.31641357555,1933757.3164135756
BTS_06422,POWER_0099,0.6171513444827234,1680000.0,132186.33308349893,1812186.333083499
BTS_04593,POWER_0041,0.1566342027056926,1680000.0,38906.48363740231,1718906.4836374023
BTS_06479,POWER_0036,0.3198276792519906,88163.0,79277.50014400632,167440.50014400634
BTS_03528,POWER_0001,0.6666131184735989,1680000.0,102695.75786869414,1782695.7578686941
BTS_06268,POWER_0148,0.7162500752041686,88163.0,162477.79872794138,250640.79872794138
BTS_04253,POWER_0132,0.1385284132898044,88163.0,36093.08476663789,124256.08476663788
BTS_02862,POWER_0115,0.1778016072409106,1680000.0,69177.93877586027,1749177.9387758602
BTS_04233,POWER_0054,1.0313632735807037,1680000.0,185628.41868087708,1865628.418680877
BTS_05694,POWER_0023,0.6432272787216581,1680000.0,122985.39116096872,1802985.3911609687
BTS_02759,POWER_0088,0.409619519238982,1680000.0,105298.31756067634,1785298.3175606763
BTS_04374,POWER_0032,0.3798524269140623,88163.0,77980.38500093647,166143.38500093645
BTS_02200,POWER_0102,0.5327609096208913,88163.0,96603.0686500741,184766.0686500741
BTS_02495,POWER_0095,0.3441932235502705,1680000.0,66238.42212952567,1746238.4221295256
BTS_06351,POWER_0020,0.8834054969936215,1680000.0,106938.56016238577,1786938.5601623857
BTS_03164,POWER_0103,0.8559741891381335,1680000.0,154933.678437884,1834933.678437884
BTS_04438,POWER_0044,1.2087384704167732,1680000.0,146320.972734662,1826320.972734662
